NameDUT,PopDensity
AALST,1145.092696
AALTER,246.3849646
AARLEN,262.2402937
AARSCHOT,489.3980775
AARTSELAAR,1338.787464
AAT,234.1379348
AFFLIGEM,756.3981232
AISEAU-PRESLES,486.2026888
ALKEN,419.2974729
ALVERINGEM,62.62046913
AMAY,524.6774448
AMEL,44.4777388
ANDENNE,326.4888622
ANDERLECHT,6981.411187
ANDERLUES,732.7962828
ANHEE,109.0287133
ANS,1232.061035
ANTHISNES,113.9968579
ANTOING,243.8172351
ANTWERPEN,2637.627738
ANZEGEM,359.4036761
ARDOOIE,267.4211735
ARENDONK,241.9494862
AS,371.1919274
ASSE,700.7183682
ASSENEDE,167.2713453
ASSESSE,93.2289914
ATTERT,80.60837745
AUBANGE,382.8139108
AUBEL,222.8148035
AVELGEM,466.5358522
AWANS,339.1868511
AYWAILLE,159.9518765
BAARLE-HERTOG,406.2451698
BAELEN,52.75253331
BALEN,319.3413556
BASTENAKEN,97.00857234
BEAUMONT,76.66071161
BEAURAING,54.1728294
BEERNEM,222.7360006
BEERSE,492.9381049
BEERSEL,870.8096029
BEGIJNENDIJK,593.9914595
BEKKEVOORT,178.9659774
BELOEIL,229.4891594
BERGEN,653.7412647
BERINGEN,609.64701
BERLAAR,487.1981937
BERLARE,404.0486375
BERLOZ,229.9411183
BERNISSART,272.3663518
BERTEM,342.6407512
BERTOGNE,40.7923629
BERTRIX,64.94383398
BEVEKOM,187.5073926
BEVER,117.7485541
BEVEREN,329.4375369
BEYNE-HEUSAY,1646.62129
BIERBEEK,268.6763283
BIEVRE,31.68486299
BILZEN,429.6430487
BINCHE,549.6238517
BITSINGEN,236.9249838
BLANKENBERGE,1078.49811
BLEGNY,515.366887
BOCHOLT,231.7975035
BOECHOUT,666.7006311
BONHEIDEN,529.5491727
BOOM,2582.367316
BOORTMEERBEEK,706.5261861
BORGLOON,223.1984413
BORGWORM,500.3225308
BORNEM,475.9337358
BORSBEEK,2898.776588
BOUILLON,36.32851904
BOUSSU,1000.99432
BOUTERSEM,273.8266167
BRAIVES,147.1970829
BRAKEL,263.4523988
BRASSCHAAT,999.8739757
BRECHT,332.2301998
BREDENE,1268.667519
BREE,256.9134335
BRUGELETTE,133.7338376
BRUGGE,847.8819577
BRUNEHAUT,175.1414925
BRUSSEL,5872.207531
BUELLINGEN,36.56920222
BUETGENBACH,58.97590378
BUGGENHOUT,580.5722742
BURDINNE,101.146509
BURG-REULAND,36.178985
CELLES,84.22496239
CERFONTAINE,59.86214664
CHAPELLE-LEZ-HERLAIMONT,813.7882624
CHARLEROI,1979.498694
CHASTRE,245.2331578
CHATELET,1298.622985
CHAUDFONTAINE,808.0962349
CHAUMONT-GISTOUX,244.446362
CHIEVRES,148.7215268
CHIMAY,48.92257396
CHINY,46.23771093
CINEY,115.6625438
CLAVIER,60.95536452
COLFONTAINE,1502.949955
COMBLAIN-AU-PONT,235.6841122
COURCELLES,702.9549442
COURT-SAINT-ETIENNE,399.9935406
COUVIN,67.64370493
CRISNEE,208.6132645
DALHEM,212.3021714
DAMME,123.347427
DAVERDISSE,24.88161888
DE HAAN,277.0147699
DE PANNE,416.4462664
DE PINTE,625.1464308
DEERLIJK,740.0481028
DEINZE,350.940658
DENDERLEEUW,1512.675009
DENDERMONDE,830.0302085
DENTERGEM,330.8620382
DESSEL,357.2388096
DESTELBERGEN,715.1146179
DIEPENBEEK,469.0415662
DIEST,420.2648985
DIKSMUIDE,113.9331446
DILBEEK,1076.476456
DILSEN-STOKKEM,323.365716
DINANT,132.8970746
DISON,1091.423795
DOISCHE,35.60368418
DONCEEL,134.0657428
DOORNIK,319.0739742
DOUR,493.102939
DROGENBOS,2344.163789
DUFFEL,795.7277975
DURBUY,73.25592287
ECAUSSINNES,329.4272415
EDEGEM,2611.02656
EDINGEN,364.1702471
EEKLO,727.1156125
EGHEZEE,161.8420334
EIGENBRAKEL,773.471227
ELSENE,13807.38571
ELZELE,132.3113404
ENGIS,227.4336609
EREZEE,42.25999133
ERPE-MERE,605.6951032
ERQUELINNES,225.4657086
ESNEUX,375.0166487
ESSEN,412.6345595
ESTAIMPUIS,331.0903433
ESTINNES,108.4822357
ETALLE,76.32636797
ETTERBEEK,15612.76758
EUPEN,209.1951117
EVERE,8635.408394
EVERGEM,485.0022246
FAIMES,142.9898465
FARCIENNES,1093.546724
FAUVILLERS,32.55892956
FERNELMONT,124.8991699
FERRIERES,89.65495076
FEXHE-LE-HAUT-CLOCHER,176.2767935
FLEMALLE,734.2548683
FLERON,1190.9024
FLEURUS,383.8874475
FLOREFFE,207.4188681
FLORENNES,84.50900899
FLORENVILLE,39.42829672
FONTAINE-L'EVEQUE,629.4776267
FOSSES-LA-VILLE,165.1204429
FRAMERIES,835.2186949
FRASNES-LEZ-ANVAING,107.209111
FROIDCHAPELLE,46.83203795
GALMAARDEN,252.546742
GANSHOREN,10480.50412
GAVERE,418.298504
GEDINNE,30.91855136
GEEL,379.5881543
GEER,150.7878911
GEETBETS,176.3346858
GELDENAKEN,200.5775723
GEMBLOUX,274.8513246
GENEPIEN,176.1489438
GENK,771.6315038
GENT,1699.457268
GERAARDSBERGEN,433.7529064
GERPINNES,269.0799629
GESVES,113.6731779
GINGELOM,153.8814984
GISTEL,286.2966295
GLABBEEK,201.0290941
GOOIK,234.4452024
GOUVY,33.1592167
GRACE-HOLLOGNE,674.5245114
GRAVEN,253.2140426
GRIMBERGEN,1018.053248
GROBBENDONK,406.0471307
HAACHT,501.8047567
HAALTERT,631.7697515
HABAY,84.03601962
HALEN,261.1462904
HALLE,934.7427637
HAM,345.768389
HAMME,625.85445
HAMOIR,137.137349
HAMOIS,98.27937463
HAMONT-ACHEL,330.6238702
HAM-SUR-HEURE-NALINNES,302.1748362
HANNUIT,196.8481792
HARELBEKE,1005.988102
HASSELT,782.4775512
HASTIERE,108.9908261
HAVELANGE,50.73918756
HECHTEL-EKSEL,168.4212745
HEERS,142.368068
HEIST-OP-DEN-BERG,510.2659025
HELECINE,223.1115147
HEMIKSEM,2208.767081
HENSIES,257.3404888
HERBEUMONT,29.5787802
HERENT,694.147575
HERENTALS,595.9638015
HERENTHOUT,398.8912543
HERK-DE-STAD,297.8702567
HERNE,151.4264956
HERON,145.4051037
HERSELT,282.6897738
HERSTAL,1740.954036
HERSTAPPE,57.14921884
HERVE,313.900154
HERZELE,390.67006
HEUSDEN-ZOLDER,648.3879069
HEUVELLAND,83.95409304
HOEGAARDEN,199.1632156
HOEI,455.1152456
HOEILAART,561.8356721
HOESELT,329.5649125
HOLSBEEK,261.9551192
HONNELLES,116.2839394
HOOGLEDE,266.1328196
HOOGSTRATEN,211.0634678
HOREBEKE,181.0207722
HOTTON,100.3450593
HOUFFALIZE,31.61086891
HOUTHALEN-HELCHTEREN,395.7689436
HOUTHULST,184.4301273
HOUYET,41.64503081
HOVE,1403.126526
HULDENBERG,252.34361
HULSHOUT,607.8703443
ICHTEGEM,313.5765404
IEPER,269.1948081
INCOURT,144.2885322
INGELMUNSTER,697.2753542
ITTER,200.9550776
IZEGEM,1131.773011
JABBEKE,269.939439
JALHAY,81.90928782
JEMEPPE-SUR-SAMBRE,410.2184419
JETTE,10348.92552
JUPRELLE,274.5636742
JURBEKE,186.7740108
KALMTHOUT,326.9198665
KAMPENHOUT,369.8623717
KAPELLEN,745.3281254
KAPELLE-OP-DEN-BOS,628.5444696
KAPRIJKE,195.8138349
KASTEELBRAKEL,469.0719347
KASTERLEE,269.5192927
KEERBERGEN,711.6585592
KELMIS,628.2392808
KINROOI,224.9865706
KLUISBERGEN,224.3884452
KNOKKE-HEIST,530.0055985
KOEKELARE,224.9025604
KOEKELBERG,19090.04378
KOKSIJDE,430.1779865
KOMEN-WAASTEN,298.9258818
KONTICH,908.5563496
KORTEMARK,232.2316076
KORTENAKEN,161.2130177
KORTENBERG,602.8405489
KORTESSEM,256.7474093
KORTRIJK,978.3222628
KRAAINEM,2407.500312
KRUIBEKE,508.714616
KRUISEM,222.8285534
KUURNE,1387.799391
LA BRUYERE,175.1798638
LA LOUVIERE,1260.616889
LA ROCHE-EN-ARDENNE,28.01515929
LAAKDAL,393.7601821
LAARNE,384.5228804
LANAKEN,445.6089269
LANDEN,305.5080891
LANGEMARK-POELKAPELLE,151.0339892
LASNE,300.9091796
LE ROEULX,202.9840311
LEBBEKE,729.7836559
LEDE,640.9641171
LEDEGEM,393.4409805
LEGLISE,33.07544731
LENDELEDE,441.8559941
LENNIK,303.0147055
LENS,93.88744373
LEOPOLDSBURG,726.0619602
LES BONS VILLERS,222.0286647
LESSEN,259.5924109
LEUVEN,1791.196146
LEUZE-EN-HAINAUT,189.3174744
LIBIN,38.2768721
LIBRAMONT-CHEVIGNY,66.0678553
LICHTERVELDE,350.4052081
LIEDEKERKE,1363.88252
LIER,760.4172388
LIERDE,258.5878134
LIERNEUX,39.38673692
LIEVEGEM,333.9813282
LIJSEM,227.4486774
LILLE,282.9789907
LIMBURG,229.1867268
LINKEBEEK,1107.631461
LINT,1512.753817
LINTER,198.4488606
LOBBES,183.6506947
LOCHRISTI,380.3723828
LOKEREN,631.0556796
LOMMEL,340.5019458
LONDERZEEL,528.0443483
LONTZEN,209.2777552
LO-RENINGE,51.05905905
LUBBEEK,329.302079
LUIK,2845.528153
LUMMEN,286.1481715
MAARKEDAL,137.364935
MAASEIK,333.4504908
MAASMECHELEN,519.3798874
MACHELEN,1434.11754
MALDEGEM,257.4094766
MALLE,308.4107862
MALMEDY,128.4692015
MANAGE,1231.460544
MANHAY,30.81218079
MARCHE-EN-FAMENNE,146.6099943
MARCHIN,183.9812427
MARTELANGE,66.80151033
MECHELEN,1346.974028
MEERHOUT,283.2023176
MEISE,577.1797297
MEIX-DEVANT-VIRTON,51.26550015
MELLE,779.7278072
MENEN,1034.932328
MERBES-LE-CHATEAU,138.3490588
MERCHTEM,480.7325171
MERELBEKE,681.0576858
MERKSPLAS,197.2885968
MESEN,298.6392727
MESSANCY,160.8112825
METTET,115.1198594
MEULEBEKE,376.3936866
MIDDELKERKE,249.9411269
MODAVE,104.3704217
MOERBEKE,177.2775245
MOESKROEN,1466.22668
MOL,333.1341867
MOMIGNIES,61.5761356
MONT-DE-L'ENCLUS,140.0694824
MONTIGNY-LE-TILLEUL,664.2018885
MONT-SAINT-GUIBERT,446.5276587
MOORSLEDE,323.0417915
MORLANWELZ,943.7401604
MORTSEL,3390.289495
MUSSON,132.1700185
NAMEN,643.9382816
NANDRIN,160.426573
NASSOGNE,50.34794141
NAZARETH,344.6881465
NEUFCHATEAU,71.52004087
NEUPRE,314.8348287
NIEL,2019.861567
NIEUWERKERKEN,319.4230589
NIEUWPOORT,345.3036495
NIJLEN,597.2392895
NIJVEL,477.0128246
NINOVE,548.3268325
OERLE,206.447004
OHEY,91.85703932
OLEN,548.7374563
OLNE,254.5220373
ONHAYE,49.89948687
OOSTENDE,1762.332832
OOSTERZELE,321.8812702
OOSTKAMP,302.0230339
OOSTROZEBEKE,479.5017916
OPWIJK,747.5167909
OPZULLIK,122.7876423
ORP-JAUCHE,179.0817514
OTTIGNIES-LOUVAIN-LA-NEUVE,943.7687345
OUDENAARDE,471.3060417
OUDENBURG,278.4083001
OUDERGHEM,3942.329956
OUD-HEVERLEE,370.2396822
OUDSBERGEN,204.4431386
OUD-TURNHOUT,376.16202
OUFFET,70.28105813
OUPEYE,711.8359307
OVERIJSE,577.4439775
PALISEUL,49.57186983
PECQ,178.0179426
PEER,189.5340108
PELT,407.0009462
PEPINGEN,127.1141106
PEPINSTER,372.7528286
PERUWELZ,282.5332718
PERWIJS,188.3719531
PHILIPPEVILLE,59.61809794
PITTEM,197.0265425
PLOMBIERES,202.0860091
PONT-A-CELLES,312.8078514
POPERINGE,165.7129084
PROFONDEVILLE,245.1516979
PUTTE,529.9205287
PUURS-SINT-AMANDS,544.8389625
QUAREGNON,1694.68058
QUEVY,123.9608092
QUIEVRAIN,318.9659916
RAEREN,152.707445
RAMILLIES,135.8469246
RANST,448.9946312
RAVELS,161.2247074
REBECQ,282.2374674
REMICOURT,265.5725533
RENDEUX,38.69604916
RETIE,244.1464643
RIEMST,290.2358027
RIJKEVORSEL,267.5053268
RIXENSART,1316.335118
ROCHEFORT,75.83759604
ROESELARE,1083.96457
RONSE,780.2631886
ROOSDAAL,541.3563939
ROTSELAAR,470.1407432
ROUVROY,76.20095155
RUISELEDE,179.7351962
RUMES,220.6234449
RUMST,765.1015245
'S GRAVENBRAKEL,272.5822518
SAINTE-ODE,27.21988972
SAINT-GEORGES-SUR-MEUSE,343.8042883
SAINT-GHISLAIN,335.2686687
SAINT-HUBERT,51.2644601
SAINT-LEGER,103.2258719
SAINT-NICOLAS,3526.318876
SAMBREVILLE,828.4558598
SANKT VITH,68.19619276
SCHAARBEEK,16551.03826
SCHELLE,1106.892431
SCHERPENHEUVEL-ZICHEM,463.4632224
SCHILDE,562.3026984
SCHOTEN,1164.345662
SENEFFE,180.6504205
SERAING,1816.805979
SINT-AGATHA-BERCHEM,8608.580106
SINT-GENESIUS-RODE,823.6634523
SINT-GILLIS,19466.05015
SINT-GILLIS-WAAS,359.2090027
SINT-JANS-MOLENBEEK,16335.83566
SINT-JOOST-TEN-NODE,23322.25868
SINT-KATELIJNE-WAVER,597.2836992
SINT-LAMBRECHTS-WOLUWE,8195.963853
SINT-LAUREINS,94.46511186
SINT-LIEVENS-HOUTEM,393.9712419
SINT-MARTENS-LATEM,571.3459324
SINT-NIKLAAS,963.6558579
SINT-PIETERS-LEEUW,886.5062933
SINT-PIETERS-WOLUWE,4751.295714
SINT-TRUIDEN,386.050562
SIVRY-RANCE,66.0454102
SOMBREFFE,235.1236044
SOMME-LEUZE,63.20163302
SOUMAGNE,637.0035518
SPA,248.18457
SPIERE-HELKIJN,190.1065799
SPRIMONT,203.5824221
STABROEK,879.323545
STADEN,248.6158873
STAVELOT,85.12034375
STEENOKKERZEEL,533.8495261
STEKENE,425.788037
STOUMONT,29.39003516
TELLIN,44.3008027
TEMSE,777.9030347
TENNEVILLE,31.34320512
TERHULPEN,487.4589206
TERNAT,667.2613527
TERVUREN,687.1322886
TESSENDERLO,364.7831832
THEUX,143.4152617
THIMISTER-CLERMONT,197.3292884
THUIN,194.6644893
TIELT,300.6670099
TIELT-WINGE,256.9487338
TIENEN,498.5770724
TINLOT,73.70665818
TINTIGNY,55.10343814
TONGEREN,363.4410487
TORHOUT,458.5120202
TREMELO,700.6641509
TROIS-PONTS,36.56963567
TROOZ,324.4654626
TUBEKE,856.1370044
TURNHOUT,827.4001322
UKKEL,3763.988838
VAUX-SUR-SURE,45.26309615
VERLAINE,176.7404632
VERVIERS,1670.993357
VEURNE,127.7572678
VIELSALM,56.44599351
VILLERS-LA-VILLE,231.4760355
VILLERS-LE-BOUILLET,205.8195007
VILVOORDE,2178.280734
VIROINVAL,46.52830765
VIRTON,119.3827119
VLETEREN,93.6083998
VLOESBERG,147.0182238
VOEREN,86.6852657
VORSELAAR,291.2018698
VORST,9174.118002
VOSSELAAR,997.410131
VRESSE-SUR-SEMOIS,24.70279749
WAASMUNSTER,346.3821934
WACHTEBEKE,226.2970057
WALCOURT,148.8000615
WALHAIN,198.7094417
WANZE,319.7215391
WAREGEM,887.3802187
WASSEIGES,128.4277369
WATERLOO,1429.206985
WATERMAAL-BOSVOORDE,1958.032467
WAVER,841.6257596
WEISMES,77.30980573
WELKENRAEDT,425.3412964
WELLEN,278.8147363
WELLIN,46.94635476
WEMMEL,2022.438893
WERVIK,438.4436134
WESTERLO,459.1075041
WETTEREN,722.5671264
WEVELGEM,812.3827625
WEZEMBEEK-OPPEM,2128.224352
WEZET,651.3291515
WICHELEN,515.5839117
WIELSBEKE,456.9196171
WIJNEGEM,1323.260889
WILLEBROEK,1014.875177
WINGENE,219.4281916
WOMMELGEM,1018.19318
WORTEGEM-PETEGEM,154.2667397
WUUSTWEZEL,242.0744713
YVOIR,161.6828465
ZANDHOVEN,332.9805598
ZAVENTEM,1313.173291
ZEDELGEM,385.6110675
ZELE,642.3352417
ZELZATE,983.6901943
ZEMST,540.3137762
ZINNIK,258.3066748
ZOERSEL,579.7351256
ZONHOVEN,545.7680293
ZONNEBEKE,185.8956186
ZOTTEGEM,481.6615673
ZOUTLEEUW,185.0350847
ZUIENKERKE,56.26135619
ZULTE,488.383881
ZUTENDAAL,228.7273662
ZWALM,245.5895859
ZWEVEGEM,401.7948303
ZWIJNDRECHT,965.5302204
